concurso_anterior,concurso,intersection_count,repeated_numbers
1,2,9,05 06 09 11 13 16 20 23 24
2,3,11,01 04 06 07 09 11 12 16 20 23 24
3,4,9,01 04 08 10 12 16 17 23 24
4,5,11,01 02 04 08 12 13 16 19 23 24 25
5,6,9,01 02 04 12 15 16 19 23 25
6,7,11,01 04 07 10 12 15 16 19 21 23 25
7,8,9,01 08 10 15 16 18 19 22 25
8,9,10,05 09 10 13 15 16 17 19 20 25
9,10,9,03 04 05 09 10 11 19 20 24
10,11,11,02 06 08 09 10 11 12 19 20 23 24
11,12,10,02 07 08 09 10 11 12 16 24 25
12,13,9,05 07 08 09 10 11 14 16 17
13,14,9,05 06 07 09 13 14 15 19 23
14,15,9,01 02 06 15 18 19 21 23 25
15,16,11,02 06 08 10 12 15 19 21 23 24 25
16,17,8,02 05 06 07 13 17 19 21
17,18,8,02 06 07 14 17 18 19 20
18,19,12,02 06 07 08 10 11 14 15 17 20 23 24
19,20,10,06 07 08 10 14 16 17 20 23 24
20,21,9,04 08 14 16 18 19 20 23 24
21,22,7,01 02 04 05 14 22 25
22,23,8,01 03 04 05 06 10 12 14
23,24,9,01 03 05 10 11 14 17 19 20
24,25,9,01 02 03 05 07 14 20 23 24
25,26,9,05 07 09 13 14 16 20 22 23
26,27,8,08 10 11 13 14 20 21 22
27,28,9,03 10 11 12 13 14 18 20 21
28,29,9,01 09 13 14 16 17 19 20 21
29,30,10,01 04 06 08 14 17 19 20 21 22
30,31,10,01 02 03 04 14 17 19 20 21 22
31,32,9,01 02 04 09 14 15 17 20 22
32,33,9,01 02 07 10 11 14 16 20 23
33,34,11,01 02 07 08 10 11 16 19 20 21 23
34,35,7,01 04 11 16 19 21 23
35,36,10,01 04 05 11 14 17 19 21 22 23
36,37,11,01 04 05 08 10 11 20 21 22 23 24
37,38,9,01 03 08 09 10 13 15 22 24
38,39,9,02 07 08 09 13 14 15 22 24
39,40,9,02 07 08 13 14 17 21 22 24
40,41,7,02 12 13 16 17 20 21
41,42,7,03 04 12 15 17 21 25
42,43,8,01 03 06 08 14 17 22 24
43,44,8,03 06 10 14 18 19 23 24
44,45,9,03 05 14 18 19 21 23 24 25
45,46,10,01 02 05 14 18 19 21 23 24 25
46,47,10,01 02 04 05 06 08 10 11 18 25
47,48,9,02 05 06 11 13 15 18 20 22
48,49,12,02 05 06 11 13 15 16 19 20 21 22 23
49,50,8,02 06 11 13 19 20 21 23
50,51,9,01 03 06 07 11 13 20 21 23
51,52,8,01 08 11 13 16 21 22 23
52,53,7,01 02 09 11 12 23 24
53,54,9,02 06 07 09 12 14 18 20 24
54,55,10,02 04 05 06 07 08 09 12 16 18
55,56,8,02 05 09 12 13 15 16 19
56,57,7,01 02 12 17 19 20 22
57,58,9,03 04 06 11 12 17 19 20 22
58,59,9,03 05 06 11 13 14 15 19 20
59,60,8,01 03 05 08 11 19 23 25
60,61,9,01 04 05 11 16 19 22 23 25
61,62,9,01 09 11 13 14 15 16 20 25
62,63,9,08 09 11 13 16 17 20 24 25
63,64,7,08 09 10 13 17 20 25
64,65,9,01 02 07 10 17 18 20 23 25
65,66,11,01 02 04 10 15 16 17 20 21 22 23
66,67,10,08 10 11 15 16 20 21 22 23 24
67,68,9,05 07 08 09 10 12 16 22 23
68,69,7,01 07 08 09 10 17 23
69,70,7,01 09 10 15 19 20 24
70,71,8,01 03 05 06 09 14 15 16
71,72,9,01 05 08 11 13 15 16 18 23
72,73,11,01 02 05 07 11 13 15 16 17 18 25
73,74,9,01 02 05 11 13 15 16 18 25
74,75,11,01 03 04 05 06 08 11 13 15 16 25
75,76,10,01 03 05 08 10 13 15 16 17 25
76,77,6,03 08 09 17 21 25
77,78,7,02 03 06 08 17 18 20
78,79,10,01 02 03 05 12 15 17 18 20 23
79,80,12,01 02 03 05 09 14 15 17 18 20 22 25
80,81,9,01 02 03 04 05 07 10 15 17
81,82,8,01 04 05 06 13 15 17 19
82,83,8,01 05 06 08 12 13 20 23
83,84,9,01 02 06 08 12 20 23 24 25
84,85,7,01 02 08 15 16 22 23
85,86,8,02 05 08 09 13 14 18 23
86,87,8,02 05 08 09 13 18 24 25
87,88,10,01 02 05 08 09 10 11 18 24 25
88,89,7,01 11 12 17 19 24 25
89,90,11,01 11 12 15 17 20 21 22 23 24 25
90,91,10,01 10 11 12 15 17 20 22 23 25
91,92,8,01 04 12 13 14 15 17 22
92,93,9,02 04 06 13 17 18 19 21 24
93,94,9,02 04 09 13 17 18 21 23 24
94,95,8,02 04 11 12 15 17 18 22
95,96,9,03 04 10 12 14 17 18 19 22
96,97,11,03 04 06 10 12 14 17 19 22 23 24
97,98,9,06 10 15 17 20 22 23 24 25
98,99,8,01 02 10 11 17 20 24 25
99,100,10,01 03 04 10 11 13 14 16 17 25
100,101,9,01 03 09 10 13 14 16 17 23
101,102,8,01 03 07 09 10 19 21 23
102,103,11,01 02 03 04 07 10 11 18 22 23 25
103,104,8,05 07 10 11 16 18 22 25
104,105,10,06 07 10 11 13 15 19 21 22 25
105,106,9,04 06 10 12 13 15 17 22 25
106,107,8,01 03 04 06 12 15 17 25
107,108,10,01 04 07 08 09 11 12 15 18 25
108,109,9,01 07 09 11 12 16 18 23 25
109,110,9,01 03 05 12 13 20 21 23 25
110,111,10,01 05 06 12 13 17 19 21 22 25
111,112,9,01 06 10 11 15 17 18 19 21
112,113,9,01 02 04 06 11 14 19 20 21
113,114,10,01 02 06 08 11 14 20 21 24 25
114,115,8,01 06 07 09 11 20 21 25
115,116,10,01 09 11 12 13 16 18 20 21 25
116,117,10,09 10 11 12 13 14 18 20 23 25
117,118,8,05 06 12 13 14 15 18 23
118,119,9,04 06 08 15 18 21 22 23 24
119,120,8,01 08 11 15 18 20 21 24
120,121,8,01 05 07 11 12 16 18 24
121,122,10,01 02 04 05 09 10 17 18 23 25
122,123,8,04 05 13 17 18 20 22 23
123,124,8,04 06 07 18 19 20 21 24
124,125,11,02 03 04 06 07 09 15 16 21 24 25
125,126,10,02 03 04 06 07 16 21 22 24 25
126,127,9,01 02 03 04 07 13 18 22 25
127,128,8,02 03 04 11 13 19 23 25
128,129,10,02 06 11 13 15 19 20 21 23 25
129,130,9,02 05 06 09 13 15 19 23 25
130,131,10,02 04 05 06 12 13 15 19 23 25
131,132,8,04 05 07 11 15 22 23 25
132,133,9,01 03 04 05 09 11 15 22 23
133,134,8,01 03 05 08 11 13 19 22
134,135,10,01 05 07 08 10 13 14 19 22 25
135,136,8,01 02 05 13 14 15 21 22
136,137,7,02 06 09 12 13 17 21
137,138,8,02 08 11 13 16 17 21 25
138,139,8,02 07 15 16 17 21 22 24
139,140,9,01 02 09 12 15 18 19 22 24
140,141,11,01 03 09 10 12 13 18 19 20 24 25
141,142,8,01 07 09 16 17 18 19 24
142,143,10,01 02 09 15 16 17 19 22 23 24
143,144,10,01 02 09 11 17 19 21 22 24 25
144,145,10,01 02 09 11 14 17 20 22 24 25
145,146,10,01 02 10 11 13 14 17 22 24 25
146,147,11,01 02 05 10 11 12 13 16 22 23 25
147,148,10,01 02 04 05 12 13 16 21 22 25
148,149,9,02 05 09 13 16 17 20 24 25
149,150,7,05 07 09 19 23 24 25
150,151,8,03 05 07 09 11 14 23 24
151,152,8,03 04 05 07 13 20 23 24
152,153,9,04 05 08 13 17 20 23 24 25
153,154,8,01 02 05 11 13 18 23 24
154,155,9,02 05 10 11 14 15 16 18 24
155,156,9,04 08 10 11 14 15 19 20 22
156,157,7,01 04 09 10 12 14 19
157,158,8,02 07 09 10 12 16 18 19
158,159,7,02 08 10 11 15 17 20
159,160,10,01 03 04 10 11 14 15 17 20 24
160,161,8,01 11 15 16 17 20 21 24
161,162,10,01 05 08 11 13 16 18 20 23 24
162,163,9,01 02 03 05 06 13 20 23 24
163,164,10,01 02 03 05 06 14 15 21 23 24
164,165,8,01 02 06 08 14 15 18 22
165,166,10,02 04 08 09 13 14 15 18 19 22
166,167,11,02 03 08 09 10 13 14 18 19 22 23
167,168,9,01 02 03 10 16 19 22 23 24
168,169,9,01 04 07 10 12 15 16 20 24
169,170,9,01 04 05 06 07 08 10 16 20
170,171,9,01 03 04 10 13 16 22 23 25
171,172,9,01 04 10 11 12 13 21 22 25
172,173,8,02 04 07 11 20 21 22 25
173,174,9,02 04 07 11 15 20 23 24 25
174,175,7,02 07 11 12 13 15 24
175,176,9,02 11 12 13 15 16 18 21 24
176,177,10,02 10 11 13 15 16 17 21 23 24
177,178,10,02 06 08 10 16 19 20 21 23 24
178,179,9,02 03 04 09 14 19 23 24 25
179,180,9,02 03 04 05 07 15 17 24 25
180,181,9,01 04 05 06 07 08 15 17 20
181,182,9,04 07 08 14 17 19 21 22 23
182,183,11,02 04 07 08 11 13 14 19 21 23 25
183,184,8,07 08 11 16 19 21 23 25
184,185,10,01 07 08 09 11 15 17 19 23 25
185,186,9,02 04 06 11 12 17 19 23 25
186,187,11,11 12 13 16 17 18 19 22 23 24 25
187,188,10,03 11 13 16 19 21 22 23 24 25
188,189,9,02 05 13 16 19 20 22 23 24
189,190,10,01 04 05 07 13 16 18 19 23 24
190,191,7,05 08 13 15 18 19 23
191,192,7,02 05 13 15 21 22 23
192,193,9,01 02 03 04 05 14 15 16 21
193,194,8,02 08 09 10 14 15 21 25
194,195,10,02 07 08 09 12 14 17 18 22 23
195,196,8,02 03 04 14 17 19 22 23
196,197,7,03 04 05 10 20 22 23
197,198,8,04 05 06 07 13 18 20 21
198,199,8,01 02 04 05 06 15 20 21
199,200,10,01 02 04 05 09 11 12 15 21 23
200,201,11,01 02 04 05 08 09 11 12 13 14 15
201,202,8,01 05 10 11 13 14 19 22
202,203,9,01 03 05 13 14 17 18 23 24
203,204,10,02 03 04 05 07 14 17 23 24 25
204,205,10,02 03 04 11 14 15 16 17 22 25
205,206,11,02 03 09 11 12 14 15 16 17 21 22
206,207,10,02 03 09 12 13 14 15 17 20 22
207,208,10,01 03 04 06 09 10 12 14 15 19
208,209,10,01 03 06 07 09 10 14 15 19 24
209,210,11,03 05 07 09 10 14 15 18 21 22 24
210,211,7,10 11 14 16 18 22 24
211,212,10,01 04 06 08 10 11 12 14 16 22
212,213,10,01 03 04 08 09 10 11 16 19 23
213,214,9,01 03 04 09 11 18 19 24 25
214,215,10,01 03 04 09 11 14 15 18 19 25
215,216,9,03 04 05 07 09 11 17 19 25
216,217,13,02 03 04 05 06 07 09 10 11 17 19 21 25
217,218,9,02 05 07 11 12 16 17 21 25
218,219,8,02 08 11 14 16 17 22 25
219,220,8,09 14 16 17 18 23 24 25
220,221,8,10 12 16 17 20 21 23 25
221,222,8,01 03 06 07 08 12 21 23
222,223,8,04 07 09 12 21 22 23 24
223,224,10,04 09 10 11 12 13 20 21 23 24
224,225,7,08 13 15 18 19 20 23
225,226,9,05 08 13 14 15 18 19 20 25
226,227,10,05 08 10 14 15 17 18 19 20 21
227,228,8,10 12 14 15 17 18 19 20
228,229,11,02 10 11 12 13 14 15 16 17 20 25
229,230,9,02 06 08 10 11 13 14 15 17
230,231,8,01 02 05 06 10 15 17 24
231,232,9,05 06 12 16 17 18 21 24 25
232,233,9,04 05 06 09 12 13 14 17 21
233,234,11,01 02 03 04 05 09 12 13 14 17 21
234,235,8,01 12 13 14 15 17 21 24
235,236,9,01 08 12 13 15 16 21 23 25
236,237,11,04 05 07 09 12 13 15 16 21 22 23
237,238,9,04 06 12 13 15 19 20 21 23
238,239,8,01 03 06 13 14 15 19 23
239,240,10,01 09 10 13 14 15 16 19 22 23
240,241,7,04 09 13 14 15 21 23
241,242,9,05 08 09 13 14 15 17 21 23
242,243,8,02 05 13 16 17 18 21 23
243,244,7,03 05 07 12 18 20 21
244,245,10,06 07 09 10 11 12 14 15 18 24
245,246,9,01 07 09 10 12 15 18 24 25
246,247,8,01 04 07 08 09 15 17 25
247,248,8,01 02 08 09 15 16 19 25
248,249,8,05 08 09 10 12 15 21 25
249,250,9,05 09 10 12 15 17 18 21 23
250,251,11,03 05 09 10 13 15 16 18 19 21 23
251,252,9,03 04 06 15 18 19 22 23 25
252,253,9,04 06 08 11 15 18 19 22 23
253,254,9,04 05 06 07 08 11 13 15 23
254,255,9,02 03 04 06 09 14 15 16 23
255,256,9,01 02 06 09 10 15 16 22 24
256,257,11,01 06 07 09 10 12 13 16 18 22 24
257,258,9,06 09 12 13 14 17 19 22 24
258,259,9,05 06 09 19 20 21 22 24 25
259,260,10,03 05 06 07 08 09 18 19 20 24
260,261,9,01 04 05 06 07 11 13 19 20
261,262,8,04 06 07 13 15 17 20 21
262,263,9,04 07 08 09 14 15 21 23 24
263,264,8,01 04 08 09 16 19 21 23
264,265,8,01 08 12 13 16 19 20 22
265,266,9,01 05 07 11 15 18 19 22 24
266,267,10,03 04 05 06 09 11 14 15 21 24
267,268,7,05 06 09 12 14 15 23
268,269,8,06 10 14 15 16 18 19 23
269,270,9,01 04 06 14 16 18 19 23 24
270,271,10,01 04 05 06 08 16 18 19 24 25
271,272,10,01 02 04 05 08 11 12 20 24 25
272,273,8,01 05 12 15 17 20 24 25
273,274,10,05 06 07 10 12 15 17 20 21 25
274,275,9,05 06 10 11 12 14 15 17 20
275,276,9,03 05 10 11 12 17 18 20 22
276,277,9,02 04 10 11 12 13 17 22 25
277,278,9,02 09 11 12 13 17 21 23 25
278,279,12,01 02 03 05 06 09 11 12 13 17 19 23
279,280,9,03 05 06 09 10 11 13 17 19
280,281,9,03 04 09 10 11 15 17 19 25
281,282,9,02 03 04 08 11 12 15 19 25
282,283,9,02 04 08 11 12 13 19 20 22
283,284,8,01 06 11 12 13 19 22 23
284,285,9,01 05 11 12 13 15 19 22 23
285,286,9,01 04 09 10 11 12 13 19 23
286,287,8,02 07 10 12 13 21 23 25
287,288,8,02 06 10 12 13 15 18 25
288,289,12,01 02 03 04 06 09 10 12 14 15 19 24
289,290,8,01 02 06 09 12 14 17 22
290,291,11,01 02 05 07 11 12 13 14 17 20 23
291,292,9,02 05 07 08 11 12 13 17 24
292,293,8,02 03 09 12 13 22 24 25
293,294,8,01 02 03 12 15 23 24 25
294,295,8,02 03 04 15 16 23 24 25
295,296,9,02 03 06 15 16 17 18 19 25
296,297,8,07 08 12 14 15 16 22 25
297,298,11,01 04 07 08 12 14 15 16 21 22 24
298,299,8,03 06 07 08 13 21 22 24
299,300,9,03 07 08 17 19 20 21 22 23
300,301,11,03 08 09 11 12 15 17 19 20 22 23
301,302,9,02 09 11 12 14 15 18 20 22
302,303,9,02 04 06 12 15 16 18 20 22
303,304,10,03 04 12 15 16 17 18 20 21 22
304,305,9,03 04 05 12 18 20 21 22 25
305,306,10,02 04 05 08 11 12 13 18 20 25
306,307,7,01 04 12 14 15 19 20
307,308,8,01 04 12 15 19 21 23 24
308,309,8,01 02 04 13 16 21 22 24
309,310,9,02 03 09 10 14 16 17 21 24
310,311,10,02 05 10 14 15 16 17 19 23 24
311,312,7,02 10 12 16 17 19 25
312,313,10,02 06 09 10 12 16 17 18 19 25
313,314,7,02 06 09 12 14 15 19
314,315,10,02 05 06 08 11 13 14 19 20 21
315,316,8,03 06 08 13 14 19 23 24
316,317,7,01 04 08 14 18 19 24
317,318,9,04 05 09 11 14 16 18 21 25
318,319,8,03 04 06 09 12 14 16 23
319,320,9,01 03 06 09 12 14 17 19 23
320,321,8,03 09 11 12 14 17 18 25
321,322,9,02 03 12 13 16 17 18 20 24
322,323,8,01 02 03 07 17 20 21 23
323,324,11,01 02 03 04 06 07 09 10 20 21 23
324,325,9,01 02 04 06 07 10 20 23 24
325,326,9,01 02 04 06 07 10 15 24 25
326,327,9,01 02 04 08 12 13 15 17 18
327,328,10,02 03 04 12 13 15 18 19 21 23
328,329,9,02 03 04 13 18 21 23 24 25
329,330,9,01 02 09 14 17 18 23 24 25
330,331,10,01 05 06 12 15 18 19 22 23 25
331,332,9,03 05 06 07 12 19 21 23 25
332,333,9,02 05 06 11 12 14 21 23 25
333,334,11,01 02 06 11 13 15 16 18 21 23 25
334,335,8,01 06 07 08 11 16 17 21
335,336,9,01 03 06 08 11 14 16 17 19
336,337,9,01 03 05 08 10 11 16 19 22
337,338,8,03 04 05 07 09 12 16 19
338,339,6,05 15 16 19 20 21
339,340,8,02 05 08 10 19 20 21 22
340,341,8,05 09 11 19 20 21 22 25
341,342,10,01 11 12 13 16 19 20 21 22 25
342,343,11,03 08 11 12 13 15 16 19 20 22 25
343,344,10,03 05 06 11 12 13 15 16 20 25
344,345,9,09 11 12 15 16 20 21 24 25
345,346,8,02 12 14 15 18 21 23 24
346,347,9,03 05 08 10 12 14 15 18 24
347,348,10,05 07 08 12 14 18 19 20 24 25
348,349,14,01 02 05 07 08 12 14 17 18 19 20 22 24 25
349,350,8,01 02 07 08 12 14 22 25
350,351,7,01 02 03 07 12 14 23
351,352,8,01 02 03 12 17 18 19 24
352,353,10,02 03 09 12 13 17 18 19 20 22
353,354,11,02 07 08 09 12 17 18 19 21 22 23
354,355,10,02 04 07 08 09 10 12 18 19 23
355,356,9,02 04 09 10 11 13 15 19 25
356,357,9,02 05 09 10 11 13 14 19 25
357,358,9,02 06 09 10 11 14 17 23 25
358,359,9,04 10 11 12 16 17 18 24 25
359,360,8,04 07 08 11 17 18 19 24
360,361,9,01 04 07 09 17 19 20 23 24
361,362,9,01 04 07 10 12 13 17 23 24
362,363,8,02 03 04 06 13 17 22 23
363,364,11,02 03 04 06 09 11 13 15 20 21 22
364,365,8,03 04 11 12 15 19 20 24
365,366,9,03 05 08 11 15 18 20 23 25
366,367,9,08 09 13 15 17 18 20 21 22
367,368,9,02 04 13 15 17 20 21 22 24
368,369,10,03 05 06 11 14 15 20 21 22 24
369,370,8,03 06 07 09 11 12 14 23
370,371,9,03 06 07 08 09 10 14 16 25
371,372,9,03 05 06 10 13 14 16 22 25
372,373,9,04 06 12 13 14 17 19 22 23
373,374,9,02 06 09 12 13 20 21 22 23
374,375,8,01 02 12 13 16 18 20 25
375,376,9,02 10 12 13 14 16 18 20 25
376,377,8,02 03 08 12 13 15 20 22
377,378,8,02 03 04 12 13 15 19 22
378,379,9,03 04 12 13 14 16 21 22 25
379,380,10,03 04 07 10 11 14 17 18 22 25
380,381,9,03 04 06 07 09 10 17 22 25
381,382,9,03 04 07 09 10 12 15 21 22
382,383,10,03 07 09 11 12 14 15 16 22 24
383,384,7,03 07 11 15 18 22 25
384,385,8,01 04 13 15 18 20 22 25
385,386,9,01 02 04 06 15 18 20 23 25
386,387,10,02 03 04 09 11 15 19 20 21 23
387,388,8,02 03 09 10 11 15 20 21
388,389,8,02 03 05 06 09 10 17 18
389,390,8,02 05 10 12 13 19 24 25
390,391,6,12 13 15 21 22 25
391,392,9,01 03 04 12 15 18 21 23 25
392,393,11,01 03 04 10 11 17 18 20 21 23 25
393,394,8,06 07 08 18 20 21 22 23
394,395,8,02 06 08 13 14 21 22 23
395,396,8,01 02 06 09 11 13 15 22
396,397,11,01 02 03 05 06 09 10 13 15 20 22
397,398,10,02 03 04 05 08 09 10 13 20 22
398,399,8,04 07 09 10 12 16 21 22
399,400,12,01 09 10 12 14 16 17 19 21 22 23 24
400,401,9,01 05 10 14 16 17 21 23 24
401,402,10,01 02 06 07 08 16 21 23 24 25
402,403,10,02 04 06 07 08 09 11 21 24 25
403,404,8,06 08 11 13 14 21 24 25
404,405,11,05 06 08 11 13 14 16 18 22 24 25
405,406,8,04 05 07 08 11 16 22 24
406,407,9,02 04 07 08 09 11 16 17 22
407,408,8,02 04 11 12 14 15 20 22
408,409,8,01 02 04 10 14 20 21 23
409,410,8,01 04 07 08 10 14 17 25
410,411,9,01 05 07 09 11 14 17 18 25
411,412,10,09 11 12 16 17 18 20 21 22 25
412,413,10,03 08 09 10 12 16 17 20 21 25
413,414,11,02 03 05 06 08 09 10 16 20 21 25
414,415,8,03 10 11 15 18 19 20 21
415,416,9,01 07 13 15 18 19 20 22 23
416,417,7,01 02 13 15 16 19 23
417,418,8,08 09 11 12 13 14 19 23
418,419,7,05 14 18 20 22 23 24
419,420,8,03 04 05 06 07 18 22 24
420,421,9,03 04 05 08 09 10 12 19 25
421,422,8,03 04 08 12 13 14 23 25
422,423,9,01 02 03 13 17 18 22 23 25
423,424,10,01 03 11 13 15 16 17 18 24 25
424,425,10,01 09 10 11 13 15 16 18 19 24
425,426,8,10 11 15 16 18 19 22 24
426,427,10,03 04 05 06 10 11 16 19 22 24
427,428,8,01 03 04 11 19 21 22 24
428,429,7,03 04 13 14 17 19 23
429,430,10,02 03 04 05 06 07 13 14 23 25
430,431,10,02 03 05 09 11 13 15 20 22 23
431,432,9,02 03 12 13 15 20 21 23 24
432,433,8,02 03 07 15 19 21 23 24
433,434,7,03 09 15 21 23 24 25
434,435,11,03 04 11 13 15 16 17 18 21 24 25
435,436,9,03 04 10 13 14 15 18 21 25
436,437,7,04 06 10 19 20 21 23
437,438,7,01 04 08 11 17 21 23
438,439,8,09 11 15 17 21 23 24 25
439,440,10,03 05 09 12 14 15 19 21 24 25
440,441,8,01 03 08 09 13 14 24 25
441,442,8,07 08 09 13 14 23 24 25
442,443,7,05 07 12 17 18 22 23
443,444,9,01 02 03 07 10 18 19 21 22
444,445,9,01 02 07 10 15 18 19 20 21
445,446,9,01 02 04 10 11 15 16 19 21
446,447,9,01 02 05 08 10 16 19 21 24
447,448,7,01 05 10 12 17 20 24
448,449,7,01 03 09 10 11 17 24
449,450,9,04 09 11 16 17 18 22 24 25
450,451,10,05 06 09 14 17 18 22 23 24 25
451,452,10,01 06 08 09 14 17 18 19 24 25
452,453,10,01 06 09 11 14 17 19 20 24 25
453,454,11,03 04 06 11 14 15 17 19 20 24 25
454,455,9,03 04 06 07 11 12 14 19 25
455,456,10,01 03 04 11 12 14 18 21 23 25
456,457,9,01 04 11 13 14 18 21 23 25
457,458,9,04 05 11 13 15 16 18 20 22
458,459,7,02 03 04 07 11 15 20
459,460,11,01 03 04 10 11 12 14 15 17 19 23
460,461,10,03 04 06 11 12 14 15 17 19 23
461,462,9,03 05 07 08 12 14 17 23 24
462,463,8,02 03 07 14 17 18 22 23
463,464,8,02 11 17 19 20 22 23 25
464,465,8,01 02 10 11 19 21 22 25
465,466,10,02 06 07 10 11 18 19 21 22 25
466,467,10,02 06 07 10 14 17 18 21 22 25
467,468,12,02 05 06 10 13 15 17 18 21 22 24 25
468,469,8,02 05 06 10 13 18 22 25
469,470,11,01 05 06 07 08 10 11 13 18 22 23
470,471,8,03 04 06 10 11 13 15 20
471,472,9,02 04 06 11 12 13 14 15 20
472,473,10,01 02 05 06 07 08 11 12 15 17
473,474,9,01 02 05 09 11 12 15 17 23
474,475,9,02 03 05 09 10 11 17 21 23
475,476,9,05 06 09 10 11 13 14 17 25
476,477,8,06 07 10 11 14 16 24 25
477,478,10,02 07 10 11 12 16 18 23 24 25
478,479,11,02 03 05 11 13 16 18 22 23 24 25
479,480,9,05 08 11 15 18 19 22 24 25
480,481,8,05 07 09 12 15 17 22 24
481,482,8,07 09 10 12 15 17 21 22
482,483,8,06 07 09 12 17 21 22 23
483,484,9,01 04 06 09 11 14 17 21 23
484,485,8,04 06 11 16 17 20 21 25
