dezena,hit_count,hit_pct,first_seen_concurso,last_seen_concurso,atraso_desde_ultimo_concurso
1,2235,0.606184,2,3686,1
2,2211,0.599675,1,3686,1
3,2219,0.601844,1,3687,0
4,2233,0.605641,2,3687,0
5,2211,0.599675,1,3687,0
6,2167,0.587741,1,3687,0
7,2179,0.590995,2,3683,4
8,2137,0.579604,3,3686,1
9,2197,0.595877,1,3686,1
10,2299,0.623542,1,3686,1
11,2270,0.615677,1,3685,2
12,2217,0.601302,2,3687,0
13,2244,0.608625,1,3687,0
14,2227,0.604014,1,3687,0
15,2201,0.596962,2,3686,1
16,2109,0.57201,1,3687,0
17,2165,0.587198,3,3687,0
18,2194,0.595064,1,3687,0
19,2198,0.596149,2,3686,1
20,2306,0.625441,1,3687,0
21,2190,0.593979,6,3687,0
22,2205,0.598047,7,3682,5
23,2162,0.586385,1,3687,0
24,2240,0.60754,1,3687,0
25,2289,0.62083,1,3687,0
