n_a,n_b,pair_count,pair_pct
1,2,1307,0.354489
1,3,1309,0.355031
1,4,1320,0.358015
1,5,1299,0.352319
1,6,1265,0.343097
1,7,1275,0.34581
1,8,1248,0.338487
1,9,1297,0.351777
1,10,1368,0.371033
1,11,1338,0.362897
1,12,1307,0.354489
1,13,1336,0.362354
1,14,1315,0.356659
1,15,1327,0.359913
1,16,1228,0.333062
1,17,1289,0.349607
1,18,1295,0.351234
1,19,1298,0.352048
1,20,1351,0.366423
1,21,1278,0.346623
1,22,1291,0.350149
1,23,1280,0.347166
1,24,1330,0.360727
1,25,1339,0.363168
2,3,1282,0.347708
2,4,1320,0.358015
2,5,1289,0.349607
2,6,1266,0.343369
2,7,1285,0.348522
2,8,1251,0.3393
2,9,1289,0.349607
2,10,1339,0.363168
2,11,1319,0.357743
2,12,1285,0.348522
2,13,1292,0.35042
2,14,1311,0.355574
2,15,1287,0.349064
2,16,1218,0.33035
2,17,1259,0.34147
2,18,1283,0.347979
2,19,1256,0.340656
2,20,1337,0.362625
2,21,1258,0.341199
2,22,1289,0.349607
2,23,1278,0.346623
2,24,1305,0.353946
2,25,1349,0.36588
3,4,1318,0.357472
3,5,1300,0.35259
3,6,1288,0.349336
3,7,1280,0.347166
3,8,1231,0.333876
3,9,1296,0.351505
3,10,1328,0.360184
3,11,1329,0.360456
3,12,1258,0.341199
3,13,1315,0.356659
3,14,1298,0.352048
3,15,1317,0.357201
3,16,1218,0.33035
3,17,1266,0.343369
3,18,1282,0.347708
3,19,1291,0.350149
3,20,1339,0.363168
3,21,1268,0.343911
3,22,1315,0.356659
3,23,1272,0.344996
3,24,1312,0.355845
3,25,1354,0.367236
4,5,1290,0.349878
4,6,1295,0.351234
4,7,1240,0.336317
4,8,1257,0.340928
4,9,1314,0.356387
4,10,1344,0.364524
4,11,1354,0.367236
4,12,1314,0.356387
4,13,1326,0.359642
4,14,1295,0.351234
4,15,1275,0.34581
4,16,1234,0.334689
4,17,1261,0.342012
4,18,1264,0.342826
4,19,1317,0.357201
4,20,1345,0.364795
4,21,1302,0.353133
4,22,1315,0.356659
4,23,1285,0.348522
4,24,1335,0.362083
4,25,1342,0.363982
5,6,1254,0.340114
5,7,1273,0.345267
5,8,1261,0.342012
5,9,1257,0.340928
5,10,1342,0.363982
5,11,1336,0.362354
5,12,1262,0.342284
5,13,1317,0.357201
5,14,1307,0.354489
5,15,1278,0.346623
5,16,1238,0.335774
5,17,1239,0.336046
5,18,1280,0.347166
5,19,1280,0.347166
5,20,1351,0.366423
5,21,1307,0.354489
5,22,1271,0.344725
5,23,1264,0.342826
5,24,1320,0.358015
5,25,1339,0.363168
6,7,1229,0.333333
6,8,1198,0.324925
6,9,1277,0.346352
6,10,1302,0.353133
6,11,1264,0.342826
6,12,1277,0.346352
6,13,1281,0.347437
6,14,1260,0.341741
6,15,1250,0.339029
6,16,1198,0.324925
6,17,1269,0.344182
6,18,1262,0.342284
6,19,1266,0.343369
6,20,1313,0.356116
6,21,1239,0.336046
6,22,1257,0.340928
6,23,1223,0.331706
6,24,1292,0.35042
6,25,1313,0.356116
7,8,1238,0.335774
7,9,1256,0.340656
7,10,1327,0.359913
7,11,1311,0.355574
7,12,1265,0.343097
7,13,1274,0.345538
7,14,1300,0.35259
7,15,1247,0.338215
7,16,1230,0.333605
7,17,1254,0.340114
7,18,1280,0.347166
7,19,1250,0.339029
7,20,1337,0.362625
7,21,1242,0.336859
7,22,1276,0.346081
7,23,1239,0.336046
7,24,1297,0.351777
7,25,1301,0.352861
8,9,1221,0.331164
8,10,1306,0.354218
8,11,1306,0.354218
8,12,1233,0.334418
8,13,1262,0.342284
8,14,1264,0.342826
8,15,1240,0.336317
8,16,1191,0.323027
8,17,1211,0.328451
8,18,1240,0.336317
8,19,1217,0.330079
8,20,1299,0.352319
8,21,1224,0.331977
8,22,1254,0.340114
8,23,1208,0.327638
8,24,1252,0.339571
8,25,1306,0.354218
9,10,1368,0.371033
9,11,1290,0.349878
9,12,1290,0.349878
9,13,1312,0.355845
9,14,1296,0.351505
9,15,1269,0.344182
9,16,1209,0.327909
9,17,1266,0.343369
9,18,1253,0.339843
9,19,1295,0.351234
9,20,1349,0.36588
9,21,1266,0.343369
9,22,1255,0.340385
